城市,维度,经度,开始时间,休息时间,hasArtwork,门店名,门店号,邮编
南通市,31.877458,121.17499299999999,8:00:00,22:00:00,False,南通海门中南城店,48586-263487,226000.0
南通市,31.893824,121.16537,8:00:00,22:00:00,False,南通海门文峰广场店,26318-244085,226000.0
南通市,31.866938,120.992723,7:30:00,22:00:00,False,G15苏通大桥服务区东区,48841-265525,226000.0
南通市,31.868699,120.991401,7:30:00,22:00:00,False,G15苏通大桥服务区西区,48842-265526,226000.0
南通市,32.064370000000004,121.089561,7:30:00,22:00:00,False,南通通州万达店,53294-284566,226000.0
南通市,31.923908,120.96187900000001,9:30:00,22:00:00,False,南通永旺梦乐城店,52145-280604,226000.0
南通市,31.921290000000003,120.951799,7:00:00,22:00:00,False,南通世茂广场店,24885-239024,226000.0
南通市,31.922255,120.94261499999999,8:00:00,22:00:00,False,南通星湖101广场店,49065-266945,226000.0
南通市,32.086498,121.074776,7:30:00,22:00:00,False,南通通州文峰大世界店,22953-226384,226000.0
南通市,31.969859000000003,120.895703,7:30:00,22:00:00,False,南通中南百货店,48303-262905,226000.0
南通市,31.975377,120.897221,7:00:00,22:00:00,False,南通凤凰文化广场店,23102-226304,226000.0
南通市,31.968687,120.892876,7:30:00,22:30:00,False,南通中南城店,16077-157090,226000.0
苏州市,31.74285,120.932686,6:30:00,22:00:00,False,苏州常熟江南印象店,48617-264204,215000.0
南通市,31.967143,120.89054499999999,7:00:00,22:00:00,False,南通星光耀店,24903-239025,226000.0
苏州市,31.616314000000003,121.20893000000001,8:00:00,21:00:00,False,苏州太仓滨江广场店,53681-285953,215000.0
南通市,31.985427,120.88837099999999,7:30:00,22:00:00,False,南通印象城1F店,52146-280605,226000.0
南通市,31.986945000000002,120.88813799999998,10:00:00,22:00:00,False,南通印象城3F店,53650-284964,226000.0
南通市,31.997188,120.88425,6:30:00,22:00:00,False,南通文峰城市广场店,26609-244644,226000.0
南通市,32.005915,120.88436200000001,7:30:00,22:30:00,False,南通金鹰圆融店,23440-230167,226000.0
南通市,32.005545,120.88355,7:30:00,22:00:00,False,南通圆融广场店,24820-208747,226000.0
南通市,32.017261,120.86785900000001,7:00:00,22:00:00,False,南通人民路金鹰店,48608-264144,226000.0
南通市,32.015251,120.865852,7:00:00,22:00:00,False,南通文峰大世界店,15021-157089,226000.0
南通市,32.024149,120.855221,7:30:00,22:00:00,False,南通邦豪时尚广场店,47421-258109,226000.0
上海市,31.620879,121.396525,8:00:00,22:00:00,False,崇明八一广场店,18847-195964,200000.0
南通市,32.042576000000004,120.86084699999999,9:00:00,22:00:00,False,南通华强广场店,27990-249439,226000.0
